0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
37,38
38,39
38,40
39,41
40,42
41,43
42,44
43,45
44,46
45,47
46,48
47,49
47,50
48,51
49,52
49,53
49,54
49,55
49,56
50,57
51,58
52,59
52,60
53,61
54,62
54,63
55,64
56,65
57,66
58,67
59,68
60,69
61,70
61,71
62,72
63,73
64,74
65,75
66,76
66,77
67,78
67,79
68,80
69,81
70,82
71,83
72,84
73,85
73,86
73,87
74,88
75,89
76,90
77,91
78,92
79,93
79,94
80,95
81,96
82,97
83,98
83,99
83,100
84,101
85,102
85,103
86,104
87,105
88,106
89,107
90,108
91,109
92,110
93,111
94,112
95,113
96,114
97,115
97,116
97,117
98,118
99,119
