0.7963,-0.6995,1.2010,0.1023,0.5099,-1.6840,0.6947,-1.1972,0.2086,-0.1044,2.1717,-1.4398,-0.7223,-0.3233,0.0240,-0.0828,-0.4121,1.2782,-0.5189,-2.6933
-0.1700,2.0845,-0.2691,0.5844,-0.5333,0.0439,-0.3068,0.8077,1.8720,-0.1427,-0.3893,1.4361,1.1120,-1.8144,-0.7950,-0.9358,1.4943,0.8793,-0.2220,-0.6044
0.5181,0.5999,0.1774,-1.9244,1.1729,0.2698,-0.2853,-1.5550,-1.3409,-0.5783,-0.4179,0.9097,-1.6093,0.6875,-0.5068,-0.8841,1.2691,-0.8234,0.6836,0.1266
0.2780,0.1698,0.2921,1.6880,1.6028,1.0784,-0.3042,-0.3565,0.1401,-0.2708,0.6166,0.1925,-0.8603,-1.6242,1.1413,1.1490,-1.7571,-0.7514,0.1279,0.4539
-0.0174,1.3907,-1.0007,-0.5005,-0.2189,-0.7538,-0.6001,-0.0036,0.1879,-1.1195,0.5455,-1.4211,0.0423,-0.8639,1.5647,0.5345,0.3194,-0.1623,0.9111,-0.2165
0.9035,0.5829,-1.5979,0.0619,0.1567,-1.2392,0.6602,-0.2850,-0.4254,-1.4298,-1.1602,0.5067,-0.4826,0.4278,-2.3576,-0.8003,-1.8811,-0.9819,-0.5327,0.2061
0.1005,-0.6937,0.6915,1.3208,1.2502,0.5984,0.5743,-0.2870,1.7444,-1.0141,-0.4540,0.6502,-1.1470,0.0348,-0.2110,-0.9136,-0.5638,-1.8852,0.1157,0.2476
0.3334,-0.5590,0.9724,-0.3098,-0.6992,1.5467,0.0940,1.6069,-0.8221,1.7169,-0.3283,-0.3543,0.1771,-1.2444,-1.5902,0.3702,0.3845,0.1423,-0.0502,-0.8207
1.4651,-1.0276,0.5677,1.7278,-0.3883,-0.7068,0.2846,-0.2347,-0.4067,0.6979,-0.1683,-1.5115,-1.2926,-2.2268,0.1917,1.1005,-0.0798,-1.2059,0.6662,0.5966
-0.2415,-0.6082,-0.0286,0.4059,-1.6461,0.5612,0.2835,-0.9814,0.6707,0.2475,-0.1781,-1.2258,-0.5477,-0.7224,-0.0050,0.3198,-1.4421,1.1878,-1.5819,-0.2518
-0.2882,0.5845,1.1027,0.7008,0.3551,1.0843,0.6994,-0.1006,-0.2817,0.2730,1.3451,-1.7798,0.4332,-0.3963,-0.7524,-0.9069,1.1850,1.8780,0.0356,-1.3116
0.2385,0.6272,-0.1753,0.8917,1.4240,-0.8606,0.3297,-0.8693,1.1823,1.3189,-0.5138,0.9284,-0.0460,1.2855,-0.5608,-0.7412,0.2260,0.3409,-0.7523,0.4591
0.5403,0.6931,-1.9218,0.0516,1.2077,1.4355,0.3702,0.5138,-0.1290,-0.3282,-1.3971,0.4268,2.0910,-0.6921,-1.1121,1.0697,-0.5535,0.2305,0.2615,-0.1032
0.6177,0.1987,-0.7952,-0.3265,0.5273,-0.6510,1.6729,-1.7554,1.7139,-0.8582,0.0498,0.7218,0.8236,-0.4988,0.1063,0.0188,-0.2155,-0.0476,0.3306,0.7082
1.0463,-0.2833,-0.1432,-0.5406,-1.2854,-1.0301,-1.1330,0.9055,0.8883,-0.4962,-0.4795,-1.4740,0.6157,0.6859,0.7574,-0.8890,0.3843,-2.3331,1.3987,0.5650
